"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7845","testCalculatorOperations","Suite","Sat Apr 26 23:18:22 GMT 2025","passed","Sat Apr 26 23:18:30 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","16926","testCalculatorOperations","Suite","Sat Apr 26 23:21:18 GMT 2025","passed","Sat Apr 26 23:21:35 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","2","testCalculatorOperations","Suite","Sat Apr 26 23:18:30 GMT 2025","passed","Sat Apr 26 23:18:30 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","6037","testCalculatorOperations","Suite","Sat Apr 26 23:19:51 GMT 2025","passed","Sat Apr 26 23:19:57 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","1","testCalculatorOperations","Suite","Sat Apr 26 23:24:04 GMT 2025","passed","Sat Apr 26 23:24:04 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","17360","testCalculatorOperations","Suite","Sat Apr 26 23:19:30 GMT 2025","passed","Sat Apr 26 23:19:48 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","5270","testCalculatorOperations","Suite","Sat Apr 26 23:19:37 GMT 2025","passed","Sat Apr 26 23:19:42 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","19010","testCalculatorOperations","Suite","Sat Apr 26 23:22:24 GMT 2025","passed","Sat Apr 26 23:22:43 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","12530","testCalculatorOperations","Suite","Sat Apr 26 23:16:39 GMT 2025","passed","Sat Apr 26 23:16:51 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","14603","testCalculatorOperations","Suite","Sat Apr 26 23:23:39 GMT 2025","passed","Sat Apr 26 23:23:53 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","3834","testCalculatorOperations","Suite","Sat Apr 26 23:19:42 GMT 2025","passed","Sat Apr 26 23:19:46 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","16479","testCalculatorOperations","Suite","Sat Apr 26 23:16:09 GMT 2025","passed","Sat Apr 26 23:16:26 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","6447","testCalculatorOperations","Suite","Sat Apr 26 23:19:55 GMT 2025","passed","Sat Apr 26 23:20:02 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","5460","testCalculatorOperations","Suite","Sat Apr 26 23:19:35 GMT 2025","passed","Sat Apr 26 23:19:40 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","2","testCalculatorOperations","Suite","Sat Apr 26 23:24:04 GMT 2025","passed","Sat Apr 26 23:24:04 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","17012","testCalculatorOperations","Suite","Sat Apr 26 23:21:35 GMT 2025","passed","Sat Apr 26 23:21:52 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","14314","testCalculatorOperations","Suite","Sat Apr 26 23:17:15 GMT 2025","passed","Sat Apr 26 23:17:30 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","3519","testCalculatorOperations","Suite","Sat Apr 26 23:19:33 GMT 2025","passed","Sat Apr 26 23:19:37 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","14676","testCalculatorOperations","Suite","Sat Apr 26 23:21:53 GMT 2025","passed","Sat Apr 26 23:22:07 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","4603","testCalculatorOperations","Suite","Sat Apr 26 23:19:18 GMT 2025","passed","Sat Apr 26 23:19:23 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","4368","testCalculatorOperations","Suite","Sat Apr 26 23:20:10 GMT 2025","passed","Sat Apr 26 23:20:14 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","10012","testCalculatorOperations","Suite","Sat Apr 26 23:18:01 GMT 2025","passed","Sat Apr 26 23:18:11 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","4057","testCalculatorOperations","Suite","Sat Apr 26 23:20:14 GMT 2025","passed","Sat Apr 26 23:20:18 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","14128","testCalculatorOperations","Suite","Sat Apr 26 23:20:25 GMT 2025","passed","Sat Apr 26 23:20:39 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","12948","testCalculatorOperations","Suite","Sat Apr 26 23:15:56 GMT 2025","passed","Sat Apr 26 23:16:09 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","3","testCalculatorOperations","Suite","Sat Apr 26 23:20:25 GMT 2025","passed","Sat Apr 26 23:20:25 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","2977","testCalculatorOperations","Suite","Sat Apr 26 23:20:22 GMT 2025","passed","Sat Apr 26 23:20:25 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 1","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","6","testCalculatorOperations","Suite","Sat Apr 26 23:20:21 GMT 2025","passed","Sat Apr 26 23:20:21 GMT 2025","com.clarkewerton.android.CalculatorTest","Android emulator 2","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","10330","testCalculatorOperations","Suite","Sat Apr 26 23:23:53 GMT 2025","passed","Sat Apr 26 23:24:04 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","15456","testCalculatorOperations","Suite","Sat Apr 26 23:15:17 GMT 2025","passed","Sat Apr 26 23:15:32 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel7","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
"","16605","testCalculatorOperations","Suite","Sat Apr 26 23:20:08 GMT 2025","passed","Sat Apr 26 23:20:25 GMT 2025","com.clarkewerton.android.CalculatorTest","GooglePixel8","com.clarkewerton.android.CalculatorTest","testCalculatorOperations"
